,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,1,1,histoire,history
1,1,2,2,chercher,search
2,4,5,5,pensais,thought
3,5,6,6,aide,help
4,9,10,12,car,because
5,10,12,15,laisse,leash
6,12,14,17,chaque,each
7,13,15,18,parlé,speak
8,18,21,24,vont,will
9,19,23,26,revoir,meet again
10,20,24,27,aucune,any
11,22,26,29,parle,speak
12,25,29,32,étaient,were
13,26,30,33,attention,Warning
14,28,32,35,pourrais,could
15,33,37,40,donné,given
16,37,42,45,façon,way
17,40,45,48,trouve,find
18,42,47,50,perdu,lost
19,46,51,54,vieux,old
20,47,52,55,sois,be
21,48,53,56,tiens,here
22,51,56,60,point,point
23,52,57,61,venu,came
24,55,60,64,venez,come
25,58,63,68,demandé,request
26,60,65,70,mis,placed
27,61,66,71,belle,beautiful
28,63,68,73,aimerais,would like to
29,64,69,74,aujourd'hui,today
30,67,72,77,enfin,finally
31,69,74,80,attendez,Wait
32,70,75,81,parti,left
33,72,77,83,boulot,job
34,73,78,84,arrêter,Stop
35,75,80,86,terre,Earth
36,77,82,88,donne,given
37,78,83,90,fin,end
38,83,88,96,filles,girls
